                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4833,                 3.9038,                 1.5432,                0.01188,                0.54928,                 0.1224,                 0.0815,                0.92462,                 3.5533,                 1.2094,              7.777e-05,              7.777e-05,              7.777e-05
                      2,                 1.4002,                 3.5445,                 1.4018,                0.01129,                0.61781,                 0.1754,                0.11915,                0.95541,                 3.4111,                 1.1553,             0.00016115,             0.00016115,             0.00016115
                      3,                 1.4119,                 2.8048,                 1.3336,                0.01462,                0.76575,                0.21118,                0.14539,                 1.0328,                 3.0875,                 1.1537,             0.00023867,             0.00023867,             0.00023867
                      4,                 1.4423,                 2.3306,                 1.3007,                0.82842,                0.08853,                0.37437,                0.25762,                 1.0405,                  2.713,                 1.1435,             0.00031031,             0.00031031,             0.00031031
                      5,                 1.3664,                 2.0486,                 1.2971,                0.78413,                0.24198,                0.45237,                 0.2957,                 1.1375,                 2.6132,                  1.291,              0.0003761,              0.0003761,              0.0003761
                      6,                 1.4098,                 1.7394,                 1.2993,                0.59835,                0.34245,                0.45159,                0.27819,                  1.209,                 2.1775,                 1.3316,             0.00043601,             0.00043601,             0.00043601
                      7,                 1.4138,                 1.5976,                 1.2824,                0.70851,                0.40101,                0.54733,                0.33141,                 1.2728,                 1.9853,                 1.3324,             0.00049006,             0.00049006,             0.00049006
                      8,                 1.3701,                 1.5996,                 1.2886,                 0.8577,                0.49884,                0.66643,                0.43456,                 1.0781,                  1.701,                 1.1752,             0.00053825,             0.00053825,             0.00053825
                      9,                 1.3038,                 1.4555,                  1.221,                0.71933,                0.55256,                0.64851,                 0.4296,                 1.0247,                 1.4541,                 1.1558,             0.00058056,             0.00058056,             0.00058056
                     10,                 1.3472,                 1.4204,                 1.2543,                0.61876,                0.62681,                0.67942,                0.45255,                 1.0329,                 1.4284,                 1.1666,             0.00061702,             0.00061702,             0.00061702
                     11,                 1.3495,                  1.394,                 1.2594,                0.68565,                0.61434,                0.67825,                0.43501,                 1.1382,                 1.4561,                 1.2128,              0.0006476,              0.0006476,              0.0006476
                     12,                 1.2638,                 1.4055,                 1.2777,                0.68955,                0.57439,                0.66162,                0.42817,                 1.1218,                 1.5547,                 1.1882,             0.00067232,             0.00067232,             0.00067232
                     13,                 1.2687,                 1.3711,                 1.2572,                0.68816,                0.61808,                0.64656,                0.41094,                 1.1484,                 1.5275,                 1.1959,             0.00067104,             0.00067104,             0.00067104
                     14,                 1.3417,                 1.3366,                 1.2642,                0.67072,                0.63582,                0.67557,                0.44757,                 1.0892,                 1.4137,                 1.1869,             0.00067104,             0.00067104,             0.00067104
                     15,                 1.2574,                 1.4355,                 1.2543,                0.75132,                0.63831,                0.69008,                0.45108,                  1.085,                 1.2922,                 1.1838,             0.00063438,             0.00063438,             0.00063438
